,title_author,pages,genre,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark
92,Useless Magic: Lyrics and Poetry by Florence Welch,288,"['nonfiction', 'music', 'poetry']",4.27,2202,0,0.0,0.0,0.0,0.0007000000000000001,0.0011,0.0077,0.0028000000000000004,0.0055000000000000005,0.0016,0.0001,0.0017000000000000001,0.0073,0.0006,0.0003,0.0004,0.0016,0.0019
93,Foundation by Isaac Asimov,244,"['fiction', 'classics', 'science fiction']",3.88,21884,1,0.0013,0.0003,0.008100000000000001,0.0004,0.0003,0.0,0.0008,0.001,0.0001,0.0018,0.0,0.0037,0.0067,0.0029,0.0012,0.0032,0.0005
94,Foundation and Empire by Isaac Asimov,256,"['fiction', 'classics', 'science fiction']",3.98,9047,1,0.0022,0.0003,0.0073,0.0002,0.0001,0.0004,0.0008,0.0006,0.0002,0.003,0.0001,0.0025,0.008100000000000001,0.0028000000000000004,0.0007000000000000001,0.0049,0.0011
100,"Lumberjanes, Vol. 1: Beware the Kitten Holy by Grace Ellis, ND Stevenson, Shannon Watters",128,"['fiction', 'comics', 'fantasy', 'lgbtqia+']",3.96,13671,1,0.0042,0.001,0.0046,0.0079,0.008,0.0002,0.0006,0.0006,0.0008,0.0001,0.0,0.0,0.0092,0.0001,0.0,0.004,0.0
101,Ledge by Stacey McEwan,370,"['fiction', 'fantasy', 'romance']",3.72,1990,1,0.005600000000000001,0.0013,0.0028000000000000004,0.0014000000000000002,0.0002,0.0032,0.0007000000000000001,0.0004,0.0,0.0053,0.001,0.0002,0.0096,0.0015,0.0,0.0027,0.0048
102,Lud-in-the-Mist by Hope Mirrlees,239,"['fiction', 'classics', 'fantasy']",3.81,1438,0,0.0058,0.0012,0.0028000000000000004,0.0033,0.0029,0.0008,0.0013,0.0007000000000000001,0.0005,0.0002,0.0003,0.0031,0.0075,0.0015,0.0,0.008,0.0016
103,Miss Pettigrew Lives for a Day by Winifred Watson,234,"['fiction', 'classics']",3.96,2069,0,0.0034999999999999996,0.004699999999999999,0.0017000000000000001,0.008100000000000001,0.0096,0.0013,0.0043,0.0012,0.0027,0.0,0.0,0.0007000000000000001,0.0022,0.0,0.0,0.0,0.0
104,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents by Lindsay C. Gibson",201,"['nonfiction', 'psychology', 'self help']",4.3,6271,0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0026,0.0028000000000000004,0.0,0.0002,0.0008,0.0074,0.0,0.0038,0.0092,0.0,0.0001
106,Daughter of Smoke & Bone by Laini Taylor,418,"['fiction', 'fantasy', 'young adult']",3.96,39204,1,0.0060999999999999995,0.0021,0.0016,0.0012,0.0004,0.0053,0.0022,0.0007000000000000001,0.0001,0.0028000000000000004,0.0016,0.0006,0.0085,0.0008,0.0,0.0067,0.004
107,Iron Widow by Xiran Jay Zhao,394,"['fiction', 'fantasy', 'lgbtqia+', 'science fiction', 'young adult']",4.17,25180,1,0.0062,0.0022,0.0014000000000000002,0.001,0.0,0.0049,0.0006,0.0019,0.0,0.0060999999999999995,0.0014000000000000002,0.001,0.0088,0.0027,0.0001,0.0019,0.0074
