,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism
6352,327,3.43,3651,1,0.21,0.75,0.03,0.11,0.16,0.8,0.33999999999999997,0.15,0.08,0.11,0.33,0.44999999999999996,0.19,0.1,0.01,0.16,0.02,5,3.8425000000000002,1,0,0,1,0,0,1,1,0
6353,693,4.02,5332,1,0.56999999999999,0.05,0.36,0.04,0.01,0.2,0.04,0.03,0.0,0.4,0.03,0.04,0.98,0.18,0.0,0.66,0.49,3,4.38,1,0,0,1,0,0,0,0,0
6354,336,3.71,2344,0,0.56999999999999,0.13999999999999999,0.27999999999999997,0.0,0.0,0.3,0.01,0.0,0.0,0.66,0.15,0.06,0.06,0.1,0.0,0.8999999999999999,0.8,4,3.856666666666667,1,0,0,0,1,0,0,0,1
6355,464,4.09,14168,1,0.52,0.1,0.34999999999999,0.04,0.03,0.33,0.16,0.09,0.01,0.44,0.03,0.06,0.97,0.1,0.0,0.5499999999999999,0.40999999999999,11,4.031000000000001,1,0,0,1,0,0,1,0,0
6356,387,3.65,1569,1,0.54,0.24,0.2,0.0,0.0,0.38999999999999996,0.04,0.04,0.0,0.48,0.16,0.25,0.36,0.44999999999999996,0.01,0.8,0.81999999999999,1,0.0,1,0,0,1,1,1,0,0,0
6357,256,4.13,1961,0,0.0,0.0,0.0,0.48,0.12,0.6,0.32,0.40999999999999,0.06,0.02,0.1,0.89,0.26,0.21,0.29,0.0,0.05,4,4.06,0,1,0,0,0,1,0,0,1
6358,354,4.3,5371,0,0.0,0.0,0.0,0.08,0.09,0.02,0.22999999999999998,0.52,0.11,0.0,0.0,0.49,0.13999999999999999,0.13,0.98,0.1,0.0,2,4.3,0,1,0,0,0,0,0,0,0
6359,283,3.85,10494,0,0.51,0.27999999999999997,0.19,0.13,0.05,0.43,0.12,0.05,0.01,0.37,0.25,0.18,0.40999999999999,0.06,0.0,0.8500000000000001,0.54,52,3.862352941176471,1,0,0,0,1,0,0,0,0
6360,606,4.2,1442,1,0.67,0.12,0.19,0.48,0.08,0.53,0.18,0.12,0.03,0.38,0.13999999999999999,0.05,0.98,0.13,0.0,0.25,0.67,3,3.935,1,0,0,1,0,0,0,0,0
6361,608,3.9,5188,1,0.62,0.13,0.22999999999999998,0.03,0.01,0.52,0.04,0.03,0.0,0.5599999999999999,0.19,0.03,0.9199999999999999,0.21,0.0,0.37,0.66,2,3.9900000000000007,1,0,0,1,0,0,1,0,0
6362,374,4.16,1164,0,0.0,0.0,0.0,0.0,0.02,0.53,0.01,0.06,0.0,0.34999999999999,0.5,0.5499999999999999,0.04,0.34999999999999,0.72,0.16,0.65,2,4.15,0,1,0,0,1,1,0,0,1
6363,646,4.1,4317,1,0.64,0.18,0.16,0.03,0.01,0.42,0.06999999999999999,0.06999999999999999,0.0,0.59,0.16999999999999998,0.02,0.96,0.21,0.01,0.37,0.5499999999999999,5,4.397499999999999,1,0,0,1,0,0,0,0,0
6364,319,3.89,1970,1,0.13999999999999999,0.08,0.02,0.81999999999999,0.44,0.16999999999999998,0.12,0.22999999999999998,0.06,0.0,0.12,0.38,0.4,0.04,0.53,0.04,0.0,7,3.9466666666666668,1,0,0,1,0,0,0,0,0
6365,354,3.92,9592,0,0.56999999999999,0.22,0.19,0.0,0.0,0.26,0.06,0.01,0.0,0.52,0.1,0.15,0.34999999999999,0.11,0.0,0.93999999999999,0.73,3,3.71,1,0,0,0,1,0,0,0,0
6366,368,4.12,1426,0,0.26,0.69,0.02,0.11,0.03,0.93999999999999,0.49,0.3,0.0,0.22,0.5599999999999999,0.37,0.13,0.27,0.1,0.0,0.22999999999999998,1,0.0,1,0,0,0,0,1,1,0,0
6367,161,4.22,5516,1,0.09,0.8699999999999999,0.01,0.06,0.01,0.70999999999999,0.06999999999999999,0.09,0.03,0.09,0.38,0.7799999999999999,0.13999999999999999,0.40999999999999,0.01,0.25,0.27999999999999997,2,4.22,1,0,1,0,0,1,0,0,0
6368,400,3.72,4258,1,0.18,0.03,0.77,0.05,0.0,0.06,0.0,0.0,0.0,0.62,0.16999999999999998,0.01,0.15,0.1,0.0,0.5599999999999999,0.97,11,3.9880000000000004,1,1,0,0,0,0,0,0,0
6369,320,3.52,6568,1,0.38999999999999996,0.27,0.27999999999999997,0.2,0.38,0.1,0.08,0.08,0.06999999999999999,0.06,0.03,0.13999999999999999,0.91,0.04,0.06,0.06999999999999999,0.11,2,3.3000000000000003,1,0,1,0,0,0,1,0,0
6370,373,3.92,3532,0,0.24,0.72,0.02,0.05,0.0,0.84,0.21,0.13999999999999999,0.0,0.11,0.52,0.62,0.24,0.32,0.05,0.38,0.26,2,3.92,1,0,1,1,0,0,0,0,0
6371,288,3.89,5303,1,0.32,0.1,0.5499999999999999,0.9199999999999999,0.59,0.01,0.01,0.0,0.05,0.01,0.0,0.06,0.73,0.02,0.0,0.6,0.02,7,3.9466666666666668,1,0,0,1,0,0,0,0,0
6372,112,3.85,1570,0,0.11,0.76,0.06999999999999999,0.0,0.01,0.51,0.0,0.05,0.0,0.34999999999999,0.65,0.70999999999999,0.01,0.22,0.21,0.02,0.73,3,4.010000000000001,1,0,1,0,0,0,0,0,0
6373,496,3.82,1474,1,0.67,0.12,0.19,0.13,0.02,0.4,0.13,0.03,0.0,0.36,0.06999999999999999,0.05,0.96,0.16999999999999998,0.0,0.54,0.49,2,3.6199999999999997,1,0,0,1,0,1,1,0,0
6374,222,3.96,16718,1,0.34999999999999,0.08,0.53,0.9199999999999999,0.66,0.02,0.03,0.03,0.06999999999999999,0.01,0.0,0.06999999999999999,0.86,0.03,0.0,0.11,0.03,7,3.935,1,0,0,1,0,0,0,0,0
6375,160,3.73,21703,1,0.31,0.06,0.6,0.04,0.2,0.38,0.33,0.21,0.04,0.13,0.22,0.26,0.8999999999999999,0.09,0.01,0.13999999999999999,0.24,17,3.97625,1,0,1,1,0,0,1,0,0
6376,496,4.17,3225,1,0.62,0.13,0.22999999999999998,0.19,0.1,0.31,0.19,0.16,0.01,0.27999999999999997,0.02,0.08,0.98,0.13999999999999999,0.04,0.48,0.24,10,3.894444444444444,1,0,0,1,0,0,1,0,0
6377,223,4.0,3864,0,0.38,0.51,0.08,0.01,0.0,0.26,0.0,0.0,0.0,0.59,0.43,0.15,0.04,0.58,0.01,0.32,0.97,3,3.8200000000000003,1,0,1,0,1,0,0,0,1
6378,200,3.52,1797,0,0.26,0.56999999999999,0.13,0.04,0.01,0.06999999999999999,0.0,0.01,0.08,0.21,0.06999999999999999,0.53,0.12,0.13999999999999999,0.0,0.89,0.32,3,3.455,1,0,1,0,0,0,0,0,0
6379,304,4.16,4655,1,0.44999999999999996,0.43,0.1,0.2,0.22,0.89,0.64,0.33999999999999997,0.13,0.19,0.63,0.44,0.16,0.15,0.12,0.0,0.16,7,4.138333333333333,1,0,1,0,0,0,1,0,0
