,stars,index_0,reflective_boxcox,mix_qt,inspiring_log,informative_boxcox,funny_qt,emotional_boxcox,challenging_mm,author_stars,Crime_author_stars,Fantasy_author_stars,Fantasy_inspiring_log,Fantasy_mix_qt,Fiction_adventurous_qt,Fiction_author_count_ss,Fiction_challenging_mm,Fiction_character_ss,Fiction_dark_ss,Fiction_emotional_boxcox,Fiction_hopeful_rs,Fiction_mysterious_rs,Fiction_pages_qt,Fiction_plot_qt,Fiction_reviews_boxcox,Fiction_sad_mm,Fiction_tense,Literary_author_stars,Literary_emotional_boxcox,Literary_hopeful_rs,Literary_inspiring_log,Literary_mysterious_rs,Nonfiction_author_stars,Nonfiction_challenging_mm,Romans_author_stars,Social_author_stars,series_author_count_ss,series_author_stars,series_mix_qt,lighthearted_mm_relaxing
10,4.43,10,1.5118635817430077,0.4624624624624625,-1.4271163556401458,-0.0,0.934934934934935,0.1750574650612248,0.04166666666666667,4.234999999999999,0.0,0.0,-0.0,0.0,0.30930930930930933,-0.22940234922121355,0.04166666666666667,0.9837464044422225,-1.0875732213292724,0.1750574650612248,1.4615384615384615,-0.34615384615384615,0.8698698698698699,0.27377377377377377,-3.2050097210002475,0.1063829787234054,0.02,0.0,0.0,0.0,-0.0,-0.0,4.234999999999999,0.04166666666666667,4.234999999999999,0.0,-0.22940234922121355,4.234999999999999,0.4624624624624625,0.8199999999999998
11,3.96,11,1.4716965633850552,0.8388388388388388,-3.2188758248682006,6.6561291047422255,0.43843843843843844,0.8992925503598982,0.53125,3.9025,0.0,3.9025,-3.2188758248682006,0.8388388388388388,0.7617617617617618,0.05698898208900263,0.53125,-0.9017738859585328,1.675145317205874,0.8992925503598982,-0.5,0.7499999999999807,0.9529529529529529,0.8633633633633633,-3.172242899183565,0.2553191489361729,0.54,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.05698898208900263,3.9025,0.8388388388388388,0.0
12,4.12,12,0.181551356298799,0.0,-2.4079456086518722,3.2735113368122484,0.7412412412412412,0.2071079449297675,0.3125,4.063333333333333,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,4.063333333333333,0.3125,0.0,4.063333333333333,-0.0,0.0,0.0,0.03
13,3.62,13,1.7514862237768605,0.6461461461461462,-2.4079456086518722,6.6561291047422255,0.2302302302302302,0.6168489776019065,0.125,3.84,0.0,3.84,-2.4079456086518722,0.6461461461461462,0.914914914914915,-0.22940234922121355,0.125,-0.977194697574563,-0.09423621870989388,0.6168489776019065,0.34615384615384615,0.40384615384615363,0.5410410410410411,0.9319319319319319,-3.110146805728166,0.1063829787234054,0.3399999999999999,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.22940234922121355,3.84,0.6461461461461462,0.05
14,3.88,14,1.5541527074396086,0.962962962962963,-2.0402208285265546,3.7895784706862647,0.43843843843843844,0.5160661110643558,0.19791666666666669,3.74,0.0,3.74,-2.0402208285265546,0.962962962962963,0.952952952952953,-0.37259801487632166,0.19791666666666669,-0.8640634801505177,-0.0011108747143582529,0.5160661110643558,0.15384615384615344,0.519230769230769,0.8308308308308309,0.7362362362362362,-3.0882669951421646,0.19148936170212968,0.4,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.37259801487632166,3.74,0.962962962962963,0.03
15,3.95,15,0.3012403151261264,0.0,-0.34249030894679006,4.625020008051503,0.2802802802802803,0.3736580773587308,0.13541666666666669,3.95,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3.95,0.3736580773587308,1.3846153846153846,-0.34249030894679006,-0.21153846153846173,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.16999999999999998
16,3.67,16,0.7516432212443789,0.19769769769769768,-0.5108256237659907,-0.0,0.7227227227227226,0.642924780131876,0.03125,0.0,0.0,0.0,-0.0,0.0,0.46796796796796797,-0.5157936805314298,0.03125,1.8133753322185553,-1.0875732213292724,0.642924780131876,1.346153846153846,-0.21153846153846173,0.1021021021021021,0.27377377377377377,-3.2633647151738954,0.15957446808510808,0.02,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.5157936805314298,0.0,0.19769769769769768,0.8099999999999999
17,3.74,17,0.5052108726424175,0.17367367367367367,-3.912023005428146,-0.0,0.3533533533533534,0.6298390080851993,0.45833333333333337,3.31,0.0,0.0,-0.0,0.0,0.3783783783783784,-0.22940234922121355,0.45833333333333337,2.115058578682676,1.6441035358740184,0.6298390080851993,-0.34615384615384615,0.42307692307692313,0.16266266266266266,0.16516516516516516,-3.1410220802026,0.4680851063829837,0.2299999999999999,3.31,0.6298390080851993,-0.34615384615384615,-3.912023005428146,0.42307692307692313,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
18,3.7,18,2.3768450185740457,0.7817817817817818,0.0,-0.0,0.3203203203203203,0.6827869554632212,0.14583333333333323,3.78,3.78,0.0,0.0,0.0,0.5775775775775776,-0.22940234922121355,0.14583333333333323,-0.18527617560624568,1.9234795678607184,0.6827869554632212,-0.38461538461538464,0.4807692307692307,0.6571571571571572,0.6266266266266266,-3.277310437387182,0.12765957446808646,0.6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.78,0.0,-0.22940234922121355,3.78,0.7817817817817818,0.01
19,3.89,19,1.3280363594862281,0.3458458458458459,-3.506557897319982,4.625020008051503,0.6721721721721722,0.1644575523185806,0.125,3.36,0.0,0.0,-0.0,0.0,0.5125125125125125,-0.37259801487632166,0.125,0.9837464044422225,0.6818083145864643,0.1644575523185806,0.03846153846153807,-0.0769230769230771,0.7022022022022022,0.532032032032032,-3.0078925425315237,0.7872340425531998,0.12,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0999999999999999
