,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,Literature and Art,Fiction,Science,Crime,Psychology,Social,Children,Romans,Biography,Entertainment
4685,352,3.9,36711,0,0.0,0.0,0.0,0.3,0.13,0.62,0.6,0.79,0.04,0.0,0.02,0.8,0.04,0.21,0.24,0.0,0.01,0,0,1,0,1,1,0,0,1,0
3100,336,3.83,105001,1,0.46999999999999,0.32,0.18,0.33,0.73,0.36,0.26,0.09,0.22,0.1,0.02,0.04,0.3399999999999999,0.05,0.0,0.08,0.01,0,1,0,0,0,0,1,1,0,0
1848,336,3.98,4696,1,0.49,0.40999999999999,0.08,0.1,0.5,0.69,0.6,0.43,0.1,0.03,0.01,0.1699999999999999,0.12,0.03,0.08,0.0,0.0,0,1,1,0,0,1,0,1,0,0
2551,288,3.75,2323,0,0.2299999999999999,0.73,0.02,0.08,0.01,0.8,0.25,0.12,0.06,0.04,0.44,0.81999999999999,0.1399999999999999,0.19,0.02,0.05,0.19,1,1,1,0,0,0,0,0,0,0
4726,336,3.89,2725,0,0.58,0.33,0.0699999999999999,0.0,0.0,0.75,0.02,0.02,0.0,0.5,0.62,0.15,0.03,0.38,0.04,0.37,0.89,1,1,0,0,0,0,1,0,0,0
5853,103,3.71,1543,0,0.2,0.02,0.76,0.0,0.02,0.02,0.02,0.0,0.0,0.58,0.02,0.48,0.37,0.3899999999999999,0.04,0.5499999999999999,0.3399999999999999,1,1,0,0,0,0,0,0,0,0
2715,357,3.7,2365,0,0.48,0.34999999999999,0.16,0.1699999999999999,0.02,0.15,0.0,0.0,0.0,0.6799999999999999,0.06,0.05,0.1699999999999999,0.11,0.0,0.73,0.79,0,1,0,1,0,0,0,0,0,0
1879,418,3.67,9929,1,0.36,0.54,0.08,0.0,0.02,0.58,0.12,0.08,0.06,0.13,0.56999999999999,0.66,0.12,0.19,0.27,0.01,0.2299999999999999,0,1,1,0,0,0,0,0,0,0
6157,216,4.08,2050,1,0.0,0.0,0.0,0.74,0.8999999999999999,0.42,0.52,0.1699999999999999,0.32,0.0,0.05,0.11,0.03,0.02,0.0,0.0,0.01,0,1,0,0,0,0,0,1,0,1
6378,200,3.52,1797,0,0.26,0.56999999999999,0.13,0.04,0.01,0.0699999999999999,0.0,0.01,0.08,0.21,0.0699999999999999,0.53,0.12,0.1399999999999999,0.0,0.89,0.32,1,1,0,0,0,0,0,0,0,0
6595,454,3.65,1061,1,0.56999999999999,0.27,0.15,0.03,0.01,0.26,0.05,0.05,0.0,0.19,0.05,0.19,0.93999999999999,0.1699999999999999,0.01,0.42,0.38,0,1,0,0,0,0,0,0,0,0
6088,394,3.95,7397,1,0.52,0.2799999999999999,0.18,0.22,0.01,0.44,0.24,0.09,0.0,0.33,0.26,0.4499999999999999,0.66,0.27,0.04,0.19,0.6999999999999901,0,1,0,0,0,0,0,0,0,0
2952,241,3.77,1864,0,0.25,0.31,0.42,0.0,0.0,0.70999999999999,0.1,0.08,0.0,0.15,0.67,0.3399999999999999,0.1699999999999999,0.2799999999999999,0.2299999999999999,0.3,0.69,0,1,1,0,0,0,1,0,0,0
6145,384,4.02,1192,0,0.37,0.58,0.04,0.34999999999999,0.22,0.92,0.66,0.2799999999999999,0.05,0.08,0.25,0.6,0.02,0.11,0.02,0.0,0.02,1,1,0,0,0,0,0,0,0,0
1744,157,3.5,5372,0,0.3399999999999999,0.51,0.13,0.05,0.22,0.63,0.5499999999999999,0.25,0.1399999999999999,0.02,0.2,0.63,0.05,0.11,0.01,0.12,0.06,1,1,1,0,0,0,0,0,0,0
6348,352,3.59,2537,0,0.32,0.08,0.56999999999999,0.02,0.01,0.05,0.0,0.0,0.01,0.29,0.03,0.1,0.2,0.18,0.04,0.96,0.51,0,1,0,0,0,0,0,0,0,0
187,272,3.95,8642,1,0.29,0.64,0.05,0.59,0.67,0.74,0.48,0.18,0.11,0.05,0.25,0.16,0.04,0.03,0.0,0.0,0.0,1,1,0,0,0,1,1,1,0,0
