,index_0,pages,stars,reviews,series,mix,character,plot,funny,lighthearted,emotional,hopeful,inspiring,relaxing,tense,sad,reflective,adventurous,challenging,informative,mysterious,dark,author_count,author_stars,Fiction,Nonfiction,Literary,Fantasy,Crime,Social,Children,Romans,Realism,Crime_mix,Fantasy_adventurous,Fantasy_author_stars,Fantasy_inspiring,Fantasy_mix,Fiction_adventurous,Fiction_author_stars,Fiction_challenging,Fiction_character,Fiction_dark,Fiction_emotional,Fiction_hopeful,Fiction_inspiring,Fiction_mix,Fiction_mysterious,Fiction_plot,Fiction_reflective,Fiction_sad,Fiction_tense,Literary_author_stars,Literary_emotional,Literary_inspiring,Literary_mix,Literary_mysterious,Literary_sad,Nonfiction_author_stars,Nonfiction_challenging,Nonfiction_hopeful,Romans_author_stars,Social_author_stars,series_adventurous,series_author_stars,series_emotional,series_mix
5809,5809,385,4.0,7831,1,0.5599999999999999,0.11,0.32,0.18,0.01,0.2,0.06,0.05,0.01,0.46999999999999,0.06,0.1399999999999999,0.7799999999999999,0.22,0.1,0.72,0.8,1,0.0,1,0,0,1,0,0,0,0,0,0.0,0.7799999999999999,0.0,0.05,0.5599999999999999,0.7799999999999999,0.0,0.22,0.11,0.8,0.2,0.06,0.05,0.5599999999999999,0.72,0.32,0.1399999999999999,0.06,0.46999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799999999999999,0.0,0.2,0.5599999999999999
5810,5810,464,3.74,1262,1,0.6,0.09,0.3,0.0699999999999999,0.04,0.38,0.1699999999999999,0.13,0.0,0.33,0.06,0.11,0.97,0.1699999999999999,0.01,0.38,0.13,1,0.0,1,0,0,1,0,0,1,0,0,0.0,0.97,0.0,0.13,0.6,0.97,0.0,0.1699999999999999,0.09,0.13,0.38,0.1699999999999999,0.13,0.6,0.38,0.3,0.11,0.06,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.38,0.6
5811,5811,392,4.43,2009,1,0.1699999999999999,0.8,0.01,0.93,0.46999999999999,0.53,0.2299999999999999,0.21,0.13,0.0699999999999999,0.08,0.43,0.04,0.11,0.26,0.0,0.03,4,3.96,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04,3.96,0.11,0.8,0.03,0.53,0.2299999999999999,0.21,0.1699999999999999,0.0,0.01,0.43,0.08,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.11,0.2299999999999999,0.0,3.96,0.04,3.96,0.53,0.1699999999999999
5812,5812,259,3.77,3307,1,0.1699999999999999,0.6799999999999999,0.12,0.52,0.8500000000000001,0.37,0.26,0.05,0.1699999999999999,0.05,0.0,0.04,0.02,0.02,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.6799999999999999,0.0,0.37,0.26,0.05,0.1699999999999999,0.0,0.12,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.37,0.1699999999999999
5813,5813,512,3.97,6952,1,0.6,0.19,0.19,0.34999999999999,0.1,0.51,0.09,0.05,0.02,0.33,0.12,0.03,0.89,0.16,0.01,0.46999999999999,0.32,13,4.059166666666667,1,0,0,1,0,0,1,1,0,0.0,0.89,4.059166666666667,0.05,0.6,0.89,4.059166666666667,0.16,0.19,0.32,0.51,0.09,0.05,0.6,0.46999999999999,0.19,0.03,0.12,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059166666666667,0.0,0.89,4.059166666666667,0.51,0.6
5814,5814,448,3.28,2611,0,0.53,0.2,0.25,0.08,0.22,0.40999999999999,0.26,0.24,0.02,0.1,0.03,0.1399999999999999,0.77,0.08,0.03,0.3,0.03,1,0.0,1,0,0,1,0,0,1,0,0,0.0,0.77,0.0,0.24,0.53,0.77,0.0,0.08,0.2,0.03,0.40999999999999,0.26,0.24,0.53,0.3,0.25,0.1399999999999999,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5815,5815,305,3.71,1661,0,0.3899999999999999,0.49,0.1,0.43,0.93999999999999,0.25,0.4599999999999999,0.3399999999999999,0.2799999999999999,0.0,0.0,0.13,0.33,0.02,0.0,0.0,0.0,2,3.74,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.33,3.74,0.02,0.49,0.0,0.25,0.4599999999999999,0.3399999999999999,0.3899999999999999,0.0,0.1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5816,5816,349,3.51,1144,0,0.51,0.3899999999999999,0.08,0.79,0.81999999999999,0.27,0.33,0.16,0.13,0.01,0.01,0.1699999999999999,0.13,0.01,0.0,0.0,0.0,1,0.0,1,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.3899999999999999,0.0,0.27,0.33,0.16,0.51,0.0,0.08,0.1699999999999999,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5817,5817,416,4.14,1362,1,0.51,0.3899999999999999,0.09,0.93999999999999,0.48,0.6,0.4,0.27,0.02,0.04,0.11,0.09,0.7799999999999999,0.0699999999999999,0.01,0.1699999999999999,0.01,1,0.0,1,0,0,1,0,0,1,0,0,0.0,0.7799999999999999,0.0,0.27,0.51,0.7799999999999999,0.0,0.0699999999999999,0.3899999999999999,0.01,0.6,0.4,0.27,0.51,0.1699999999999999,0.09,0.09,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799999999999999,0.0,0.6,0.51
5818,5818,480,4.1,6924,0,0.27,0.63,0.0699999999999999,0.2,0.25,0.89,0.31,0.21,0.0699999999999999,0.02,0.75,0.36,0.1,0.11,0.0,0.0,0.0,5,3.8725,1,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.1,3.8725,0.11,0.63,0.0,0.89,0.31,0.21,0.27,0.0,0.0699999999999999,0.36,0.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8725,0.0,0.0,0.0,0.0,0.0
5819,5819,324,4.03,17302,1,0.53,0.1,0.36,0.58,0.56999999999999,0.18,0.06,0.04,0.1399999999999999,0.06,0.0,0.01,0.88,0.04,0.01,0.64,0.01,4,3.9500000000000006,1,0,0,1,0,0,1,1,0,0.0,0.88,3.9500000000000006,0.04,0.53,0.88,3.9500000000000006,0.04,0.1,0.01,0.18,0.06,0.04,0.53,0.64,0.36,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9500000000000006,0.0,0.88,3.9500000000000006,0.18,0.53
5820,5820,277,4.2,2197,1,0.4499999999999999,0.38,0.15,0.1699999999999999,0.02,0.32,0.04,0.02,0.0,0.62,0.1,0.0,0.27,0.25,0.0,0.40999999999999,0.86,3,4.105,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.27,4.105,0.25,0.38,0.86,0.32,0.04,0.02,0.4499999999999999,0.40999999999999,0.15,0.0,0.1,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.105,0.0,0.27,4.105,0.32,0.4499999999999999
5821,5821,304,3.23,1271,1,0.4499999999999999,0.36,0.13,0.0,0.0,0.38,0.0,0.03,0.0,0.2299999999999999,0.19,0.4599999999999999,0.26,0.19,0.03,0.5,0.88,4,3.8366666666666656,1,0,0,1,0,0,0,0,0,0.0,0.26,3.8366666666666656,0.03,0.4499999999999999,0.26,3.8366666666666656,0.19,0.36,0.88,0.38,0.0,0.03,0.4499999999999999,0.5,0.13,0.4599999999999999,0.19,0.2299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,3.8366666666666656,0.38,0.4499999999999999
5822,5822,246,4.1,7479,1,0.21,0.02,0.75,0.02,0.02,0.04,0.06,0.1,0.01,0.29,0.0,0.32,0.8099999999999999,0.29,0.08,0.64,0.05,6,3.938,1,0,1,1,0,0,0,0,0,0.0,0.8099999999999999,3.938,0.1,0.21,0.8099999999999999,3.938,0.29,0.02,0.05,0.04,0.06,0.1,0.21,0.64,0.75,0.32,0.0,0.29,3.938,0.04,0.1,0.21,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.8099999999999999,3.938,0.04,0.21
5823,5823,368,4.44,12068,1,0.32,0.63,0.04,0.25,0.04,0.88,0.5499999999999999,0.4599999999999999,0.0,0.2799999999999999,0.3,0.42,0.05,0.32,0.0699999999999999,0.0,0.16,4,4.4866666666666655,1,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.05,4.4866666666666655,0.32,0.63,0.16,0.88,0.5499999999999999,0.4599999999999999,0.32,0.0,0.04,0.42,0.3,0.2799999999999999,4.4866666666666655,0.88,0.4599999999999999,0.32,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.05,4.4866666666666655,0.88,0.32
5824,5824,320,3.87,1749,0,0.2,0.75,0.03,0.19,0.05,0.63,0.18,0.0699999999999999,0.03,0.1,0.3899999999999999,0.76,0.1399999999999999,0.1,0.03,0.3,0.2799999999999999,2,3.87,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1399999999999999,3.87,0.1,0.75,0.2799999999999999,0.63,0.18,0.0699999999999999,0.2,0.3,0.03,0.76,0.3899999999999999,0.1,3.87,0.63,0.0699999999999999,0.2,0.3,0.3899999999999999,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0
5825,5825,427,3.87,1474,0,0.4499999999999999,0.31,0.21,0.09,0.03,0.36,0.05,0.11,0.0,0.0699999999999999,0.1699999999999999,0.4499999999999999,0.54,0.54,0.02,0.84,0.25,5,4.055000000000001,1,0,0,1,0,0,0,0,0,0.0,0.54,4.055000000000001,0.11,0.4499999999999999,0.54,4.055000000000001,0.54,0.31,0.25,0.36,0.05,0.11,0.4499999999999999,0.84,0.21,0.4499999999999999,0.1699999999999999,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
